id,name,enrollment
18777,2024 Fall - LGST 1110-3 - Legal Systems in American Society,28
18778,2024 Fall - MUS 3635-1 - Individual Music Lessons: Double Bass,0
18779,2024 Fall - PHYS 1135-L1 - LAB: Imaging the Invisible World,11
18780,2024 Fall - MUS 3640-1 - Individual Music Lessons: Trumpet,2
18781,2024 Fall - PHYS 1135-L2 - LAB: Imaging the Invisible World,12
18782,2024 Fall - MUS 3650-1 - Individual Music Lessons: French Horn,1
18783,2024 Fall - MUS 3660-1 - Individual Music Lessons: Trombone,2
18784,2024 Fall - PHYS 1230-1 - General Physics I,40
18785,2024 Fall - MUS 3670-1 - Individual Music Lessons: Tuba/Euphonium,3
18786,2024 Fall - PHYS 1230-L1 - LAB: General Physics I,10
18787,2024 Fall - MUS 3690-1 - Individual Music Lessons: Harp,1
18788,2024 Fall - PHYS 1230-L2 - LAB: General Physics I,13
18789,2024 Fall - MUS 3700-1 - Individual Music Lessons: Percussion,3
18790,2024 Fall - PHYS 1230-L3 - LAB: General Physics I,8
18791,2024 Fall - PHYS 1230-L4 - LAB: General Physics I,9
18792,2024 Fall - MUS 3705-1 - Individual Music Lessons: Jazz Drumming,2
18793,2024 Fall - PHYS 3110-1 - Engineering Mechanics: Statics,8
18794,2024 Fall - MUS 3710-1 - Individual Music Lessons: Composition-Popular & Classical,1
18795,2024 Fall - PHYS 3540-1 - Modern Physics,8
18796,2024 Fall - MUS 3720-1 - Individual Music Lessons: Composition-Sound Design,0
18797,2024 Fall - PHYS 3540-L1 - LAB: Modern Physics,8
18798,2024 Fall - MUS 3730-1 - Individual Music Lessons: Composition-Jazz,0
18799,2024 Fall - PHYS 3700-1 - Condensed Matter Physics,5
18800,2024 Fall - MUS 5500-1 - Individual Music Lessons: Voice,0
18801,2024 Fall - SJSC 3330-1 - Gender Matters,19
18802,2024 Fall - MUS 5510-1 - Individual Music Lessons: Piano,0
18805,2024 Fall - SJSC 3900-1 - Engaging Social Justice,10
18806,2024 Fall - MUS 5540-1 - Individual Music Lessons: Guitar,1
18807,2024 Fall - PSCI 1110-1 - American Government and Politics,28
